E_threshold,TP,FP,FN,TN,Acc,Prec,Recall,MCC
1e-30,31,13,329,574254,0.9994048313079615,0.7045454545454546,0.08611111111111111,0.24617869405480894
1e-29,33,13,327,574254,0.9994083118266284,0.717391304347826,0.09166666666666666,0.25630543110645504
1e-28,33,14,327,574253,0.999406571567295,0.7021276595744681,0.09166666666666666,0.2535595203472753
1e-27,41,14,319,574253,0.9994204936419625,0.7454545454545455,0.11388888888888889,0.2912346123469356
1e-26,53,14,307,574253,0.9994413767539638,0.7910447761194029,0.14722222222222223,0.34111791799808905
1e-25,81,16,279,574251,0.9994866234966334,0.8350515463917526,0.225,0.43330599161378913
1e-24,126,17,234,574250,0.999563194907305,0.8811188811188811,0.35,0.5551783263151127
1e-23,158,17,202,574250,0.9996188832059754,0.9028571428571428,0.4388888888888889,0.6293432455867841
1e-22,203,19,157,574248,0.9996937143573136,0.9144144144144144,0.5638888888888889,0.7179441186478743
1e-21,239,20,121,574247,0.9997546234339841,0.9227799227799228,0.6638888888888889,0.782592709052022
1e-20,259,23,101,574244,0.9997842078426528,0.9184397163120568,0.7194444444444444,0.8127749122118834
1e-19,275,23,85,574244,0.9998120519919879,0.9228187919463087,0.7638888888888888,0.8395123662284724
1e-18,285,26,75,574241,0.999824233807322,0.9163987138263665,0.7916666666666666,0.8516674510180574
1e-17,301,28,59,574239,0.9998485974379903,0.9148936170212766,0.8361111111111111,0.87454114731004
1e-16,320,29,40,574238,0.9998799221059922,0.9169054441260746,0.8888888888888888,0.9027285574962463
1e-15,333,30,27,574237,0.9999008052179936,0.9173553719008265,0.925,0.9211201376058955
1e-14,343,30,17,574237,0.999918207811328,0.9195710455764075,0.9527777777777777,0.9359864391778281
1e-13,347,32,13,574235,0.999921688329995,0.9155672823218998,0.9638888888888889,0.9393786736808935
1e-12,351,32,9,574235,0.9999286493673287,0.9164490861618799,0.975,0.9452362199136246
1e-11,354,34,6,574233,0.9999303896266621,0.9123711340206185,0.9833333333333333,0.9471539773668725
1e-10,354,35,6,574232,0.9999286493673287,0.910025706940874,0.9833333333333333,0.945934920807663
1e-09,354,36,6,574231,0.9999269091079953,0.9076923076923077,0.9833333333333333,0.9447205548450031
1e-08,354,36,6,574231,0.9999269091079953,0.9076923076923077,0.9833333333333333,0.9447205548450031
1e-07,355,37,5,574230,0.9999269091079953,0.9056122448979592,0.9861111111111112,0.9449695036081591
1e-06,356,38,4,574229,0.9999269091079953,0.9035532994923858,0.9888888888888889,0.9452233287039974
1e-05,357,38,3,574229,0.9999286493673287,0.9037974683544304,0.9916666666666667,0.9466788456676951
0.0001,357,38,3,574229,0.9999286493673287,0.9037974683544304,0.9916666666666667,0.9466788456676951
0.001,358,39,2,574228,0.9999286493673287,0.9017632241813602,0.9944444444444445,0.9469364941814332
0.01,358,42,2,574225,0.9999234285893284,0.895,0.9944444444444445,0.9433763072507665
0.1,359,43,1,574224,0.9999234285893284,0.8930348258706468,0.9972222222222222,0.9436554288243894
1.0,360,52,0,574215,0.9999095065146608,0.8737864077669902,1.0,0.9347231067114934
10.0,360,69,0,574198,0.9998799221059922,0.8391608391608392,1.0,0.9160021895861222
100.0,360,194,0,574073,0.9996623896893115,0.6498194945848376,1.0,0.8059776493758961
1000.0,360,1677,0,572590,0.9970815850978113,0.17673048600883653,1.0,0.41977897731299685
10000.0,360,1677,0,572590,0.9970815850978113,0.17673048600883653,1.0,0.41977897731299685
