id,protein,pfam,keywords
A0A1Q1NL17,Kunitz-type anticoagulant protein HA11,PF00014,Blood coagulation cascade inhibiting toxin;Disulfide bond;Glycoprotein;Hemostasis impairing toxin;Secreted
A0A3G2FQK2,PI-stichotoxin-Hmg3d,PF00014,Cleavage on pair of basic residues;Disulfide bond;Ion channel impairing toxin;Nematocyst;Protease inhibitor
A0A6B7FA07,PI-stichotoxin-Hcr2j,PF00014,Cleavage on pair of basic residues;Disulfide bond;Ion channel impairing toxin;Nematocyst;Protease inhibitor
A0A6B7FEJ3,PI-stichotoxin-Hcr2k,PF00014,Cleavage on pair of basic residues;Disulfide bond;Ion channel impairing toxin;Nematocyst;Protease inhibitor
D2Y489,Kunitz-type serine protease inhibitor conotoxin Cal9.1b,PF00014,Disulfide bond;Protease inhibitor;Secreted;Serine protease inhibitor;Toxin
D2Y490,Kunitz-type serine protease inhibitor conotoxin Cal9.1c,PF00014,Disulfide bond;Protease inhibitor;Secreted;Serine protease inhibitor;Toxin
D2Y491,Kunitz-type serine protease inhibitor conotoxin Cal9.1d,PF00014,Disulfide bond;Protease inhibitor;Secreted;Serine protease inhibitor;Toxin
D3GGZ8,Kunitz-type protein bli-5,PF00014,Disulfide bond;Reference proteome;Signal
O43278,Kunitz-type protease inhibitor 1,"PF22352,PF00014,PF00057,PF07502",3D-structure;Alternative splicing;Cell membrane;Cytoplasm;Direct protein sequencing
O43291,Kunitz-type protease inhibitor 2,PF00014,3D-structure;Alternative splicing;Cell membrane;Cytoplasm;Direct protein sequencing
O62247,Kunitz-type protein bli-5,"PF00014,PF14625",Disulfide bond;Reference proteome;Signal
P00974,Pancreatic trypsin inhibitor,PF00014,3D-structure;Direct protein sequencing;Disulfide bond;Pharmaceutical;Protease inhibitor
P00981,Kunitz-type serine protease inhibitor homolog dendrotoxin K,PF00014,3D-structure;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin
P02760,Protein AMBP,"PF00014,PF00061",3D-structure;Cell membrane;Chromophore;Cleavage on pair of basic residues;Cytoplasm
P04365,Inter-alpha-trypsin inhibitor,PF00014,Direct protein sequencing;Disulfide bond;Glycoprotein;Protease inhibitor;Reference proteome
P04366,Protein AMBP,"PF00014,PF00061",Cell membrane;Chromophore;Cleavage on pair of basic residues;Cytoplasm;Direct protein sequencing
P05067,Amyloid-beta precursor protein,"PF10515,PF12924,PF12925,PF02177,PF03494,PF00014",3D-structure;Alternative splicing;Alzheimer disease;Amyloid;Amyloidosis
P0CAR0,Kunitz-type serine protease inhibitor G1,PF00014,Direct protein sequencing;Disulfide bond;Protease inhibitor;Secreted;Serine protease inhibitor
P0CH75,Kunitz-type serine protease inhibitor hainantoxin F7-25.66,PF00014,Direct protein sequencing;Protease inhibitor;Secreted;Serine protease inhibitor
P0DJ66,Kunitz-type serine protease inhibitor HNTX-03141017,PF00014,Disulfide bond;Protease inhibitor;Secreted;Serine protease inhibitor;Signal
P0DJ69,Kunitz-type serine protease inhibitor HNTX-852,PF00014,Disulfide bond;Protease inhibitor;Secreted;Serine protease inhibitor;Signal
P0DJ74,Kunitz-type serine protease inhibitor HNTX-0109076,PF00014,Disulfide bond;Protease inhibitor;Secreted;Serine protease inhibitor;Signal
P0DMW8,Kunitz-type proteinase inhibitor AEPI-III,PF00014,Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Nematocyst;Potassium channel impairing toxin
P0DMW9,Kunitz-type proteinase inhibitor AEPI-IV,PF00014,Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Nematocyst;Potassium channel impairing toxin
P0DN19,U-actitoxin-Avd3r,PF00014,Disulfide bond;Ion channel impairing toxin;Nematocyst;Potassium channel impairing toxin;Protease inhibitor
